id,userId,chapterId,read,readDate,createdAt,updatedAt
"9c54dec3-47df-4e8e-a08a-e85440e7af51",,4,true,,2025-06-23T23:21:14.334Z,2025-08-20T11:07:14.095Z
"a185b676-7b43-462e-935a-fa4f58b7d4ac",,6,false,,2025-06-23T23:21:14.398Z,2025-06-23T23:21:14.398Z
"86632c4b-4b7e-47c4-bf17-01b790e5926c",,7,false,,2025-06-23T23:21:14.413Z,2025-06-23T23:21:14.413Z
"08ea6543-c2ba-4905-81e8-01492016632c",,8,false,,2025-06-23T23:21:14.448Z,2025-06-23T23:21:14.448Z
"b59b99b9-e686-4200-9548-b4395b752cce",,12,false,,2025-06-23T23:21:14.579Z,2025-06-23T23:21:14.579Z
"48f58155-62db-43b6-8f55-104763fd1b3a",,13,false,,2025-06-23T23:21:14.614Z,2025-06-23T23:21:14.614Z
"a0f9f2c4-d4fa-4ee1-8dda-094edd0b1f7b",,14,false,,2025-06-23T23:21:14.707Z,2025-06-23T23:21:14.707Z
"363327cb-fa85-4eeb-87b8-17ac469574eb",,16,false,,2025-06-23T23:21:14.801Z,2025-06-23T23:21:14.801Z
"78fc390e-5674-4c7f-9265-6405a5f00035",,18,false,,2025-06-23T23:21:14.866Z,2025-06-23T23:21:14.866Z
"d4eae279-0ddb-4520-b74a-c36f84fb3963",,19,false,,2025-06-23T23:21:14.901Z,2025-06-23T23:21:14.901Z
"cb04f044-1ece-4d7f-b225-cb825d552650",,20,false,,2025-06-23T23:21:14.927Z,2025-06-23T23:21:14.927Z
"75043477-f1cf-4132-9705-f4ecbefd9c7c",,21,false,,2025-06-23T23:21:14.964Z,2025-06-23T23:21:14.964Z
"fe3b851d-1948-4cd8-b9f2-ad05477eaaeb",,22,false,,2025-06-23T23:21:15.001Z,2025-06-23T23:21:15.001Z
"d72e536b-e52e-4d1a-9026-d0bd0456814a",,23,false,,2025-06-23T23:21:15.036Z,2025-06-23T23:21:15.036Z
"34d60c17-16a2-4ffa-9ee3-135a6634b690",,24,false,,2025-06-23T23:21:15.064Z,2025-06-23T23:21:15.064Z
"ddc070d5-8655-413c-a2af-4bd68a6fa5ea",,25,false,,2025-06-23T23:21:15.127Z,2025-06-23T23:21:15.127Z
"88b1619a-a407-4738-ac07-de461ad8dd2c",,27,false,,2025-06-23T23:21:15.315Z,2025-06-23T23:21:15.315Z
"672b821b-882c-4419-a2b2-0fc36d1be913",,28,false,,2025-06-23T23:21:15.332Z,2025-06-23T23:21:15.332Z
"08f7f41e-c3a5-4a1f-b392-5c2e97bbf8cf",,29,false,,2025-06-23T23:21:15.370Z,2025-06-23T23:21:15.370Z
"aee8d013-a6fa-4f0a-b9bf-7055b70a50b1",,30,false,,2025-06-23T23:21:15.406Z,2025-06-23T23:21:15.406Z
"fb2fc965-c090-430f-9661-8d6f337a3628",,34,false,,2025-06-23T23:21:15.569Z,2025-06-23T23:21:15.569Z
"82338bc2-01e5-47c8-b098-cf37d6bcc8df",,47,false,,2025-06-23T23:21:17.140Z,2025-06-23T23:21:17.140Z
"43c014db-ed96-467c-a7a7-549a68d82854",,48,false,,2025-06-23T23:21:17.152Z,2025-06-23T23:21:17.152Z
"f85abba3-6e26-49f0-a911-e0c120b94b4f",,49,false,,2025-06-23T23:21:17.164Z,2025-06-23T23:21:17.164Z
"ead96d85-711b-4fe7-a9e6-d6bbba870df3",,50,false,,2025-06-23T23:21:17.176Z,2025-06-23T23:21:17.176Z
"7599f53f-17c5-45ea-83a5-c3d127a1e2b7",,51,false,,2025-06-23T23:21:17.187Z,2025-06-23T23:21:17.187Z
"853c783b-7198-4020-8896-8918667ef521",,52,false,,2025-06-23T23:21:17.199Z,2025-06-23T23:21:17.199Z
"13975677-1c8c-4ffb-a380-260ce689f025",,53,false,,2025-06-23T23:21:17.211Z,2025-06-23T23:21:17.211Z
"c1fdba13-0acd-4901-8d44-bd78ed593b5c",,54,false,,2025-06-23T23:21:17.224Z,2025-06-23T23:21:17.224Z
"106656a5-2438-4ce5-9dea-a43213923fd7",,55,false,,2025-06-23T23:21:17.235Z,2025-06-23T23:21:17.235Z
"7ce07c58-0ffb-4455-92ad-51a345a05f5a",,56,false,,2025-06-23T23:21:17.247Z,2025-06-23T23:21:17.247Z
"11aa6ff9-e8bc-465b-b3b3-789c43551726",,57,false,,2025-06-23T23:21:17.258Z,2025-06-23T23:21:17.258Z
"09272444-253e-4455-b5b7-22f4d5accc6e",,58,false,,2025-06-23T23:21:17.270Z,2025-06-23T23:21:17.270Z
"3ceda51e-19f8-456d-926d-d52fa6e02227",,59,false,,2025-06-23T23:21:17.281Z,2025-06-23T23:21:17.281Z
"dd7032bf-c8a8-430a-8341-87cfaf7ee412",,60,false,,2025-06-23T23:21:17.293Z,2025-06-23T23:21:17.293Z
"4d58420a-fe2c-4bdb-b8e9-742afe1e7aca",,61,false,,2025-06-23T23:21:17.307Z,2025-06-23T23:21:17.307Z
"c32a9542-fb64-446f-aba1-aecc1cae9cee",,62,false,,2025-06-23T23:21:17.329Z,2025-06-23T23:21:17.329Z
"4c4e834f-587c-4a03-a9fe-6d807c1a3f30",,63,false,,2025-06-23T23:21:17.341Z,2025-06-23T23:21:17.341Z
"9e6a68bb-2ddd-47d1-b19d-f0b2a52eb648",,64,false,,2025-06-23T23:21:17.354Z,2025-06-23T23:21:17.354Z
"a13a4022-95f7-4951-82c8-ab9299b39f42",,65,false,,2025-06-23T23:21:17.365Z,2025-06-23T23:21:17.365Z
"e8c9bf0b-1beb-44de-a505-2d16a70de6bb",,66,false,,2025-06-23T23:21:17.377Z,2025-06-23T23:21:17.377Z
"1a47c209-1f1a-48a6-91b2-e0de698dadd4",,67,false,,2025-06-23T23:21:17.389Z,2025-06-23T23:21:17.389Z
"406644ef-c9e2-43e5-9e00-a95ff3e46b46",,68,false,,2025-06-23T23:21:17.400Z,2025-06-23T23:21:17.400Z
"9eee4cfe-94e1-458e-bd07-1677f039bd63",,69,false,,2025-06-23T23:21:17.414Z,2025-06-23T23:21:17.414Z
"efb88da9-8faa-42d7-a326-3bb2972627d0",,70,false,,2025-06-23T23:21:17.427Z,2025-06-23T23:21:17.427Z
"59bb40e3-5892-49ad-b78c-9b6e5234417c",,71,false,,2025-06-23T23:21:17.438Z,2025-06-23T23:21:17.438Z
"00c4e232-69f8-482b-8573-840194ba3019",,72,false,,2025-06-23T23:21:17.449Z,2025-06-23T23:21:17.449Z
"294bd7cd-593f-481e-81a2-3b882b19450f",,73,false,,2025-06-23T23:21:17.461Z,2025-06-23T23:21:17.461Z
"bcaa368e-4848-4e5e-ae49-2407e4c2fef8",,74,false,,2025-06-23T23:21:17.474Z,2025-06-23T23:21:17.474Z
"9f5b8d61-181a-4b1e-9070-385d9d8b6063",,77,true,,2025-09-12T22:42:15.008Z,2025-09-12T22:42:15.008Z
