id,name,handle,"channelUrl",description,"subscriberCount",verified,"createdAt","updatedAt"
150,vlad9vt,,https://youtube.com/@vlad9vt,,,f,2025-06-23 16:09:35.028,2025-06-23 16:09:35.028
151,The Historian's Craft,,https://youtube.com/@TheHistorian'sCraft,,,f,2025-06-23 16:09:35.079,2025-06-23 16:09:35.079
152,Digital Hammurabi,,https://youtube.com/@DigitalHammurabi,,,f,2025-06-23 16:09:35.189,2025-06-23 16:09:35.189
153,Egyptology 101,,https://youtube.com/@Egyptology101,,,f,2025-06-23 16:09:35.306,2025-06-23 16:09:35.306
154,Prof. Neal's Art Appreciation & Art History,,https://youtube.com/@Prof.Neal'sArtAppreciation&ArtHistory,,,f,2025-06-23 16:09:35.32,2025-06-23 16:09:35.32
155,Invicta,,https://youtube.com/@Invicta,,,f,2025-06-23 16:09:35.424,2025-06-23 16:09:35.424
157,American Bookbinders Museum,,https://youtube.com/@AmericanBookbindersMuseum,,,f,2025-06-23 16:09:35.652,2025-06-23 16:09:35.652
158,SCA Lochac,,https://youtube.com/@SCALochac,,,f,2025-06-23 16:09:35.662,2025-06-23 16:09:35.662
159,Ancient Americas,,https://youtube.com/@AncientAmericas,,,f,2025-06-23 16:09:35.677,2025-06-23 16:09:35.677
160,Our History: Big Bang to 2025,,https://youtube.com/@OurHistory:BigBangto2025,,,f,2025-06-23 16:09:35.687,2025-06-23 16:09:35.687
161,The Histocrat,,https://www.youtube.com/@TheHistocrat,,,f,2025-08-18 19:10:40.285,2025-08-18 19:10:40.285
162,Survive the Jive,,https://www.youtube.com/@Survivethejive,,,f,2025-08-19 20:49:47.517,2025-08-19 20:49:47.517
163,Fortress of Lugh,,https://www.youtube.com/watch?v=uYYJJSAMmL8,,,f,2025-08-19 20:53:12.262,2025-08-19 20:53:12.262
164,Dig.,,https://www.youtube.com/@dig.archaeology,,,f,2025-08-19 22:01:20.986,2025-08-19 22:01:20.986
