id,userId,videoId,watched,watchDate,progress,createdAt,updatedAt
"c427cd45-240e-4f27-9086-35cbbe647f27",,4456,true,,,2025-06-23T23:13:02.933Z,2025-06-23T23:13:02.933Z
"457236e1-72b0-44c3-8217-37e9e9a220d3",,4457,true,,,2025-06-23T23:13:02.940Z,2025-06-23T23:13:02.940Z
"a0f759ac-bc91-42dd-82e7-9d1543cd8afe",,4458,true,,,2025-06-23T23:13:02.946Z,2025-06-23T23:13:02.946Z
"36145c76-1af4-4a82-8933-57fa6a6479b8",,4459,true,,,2025-06-23T23:13:02.951Z,2025-06-23T23:13:02.951Z
"a0a203d3-a779-4d0d-b962-323f50133c31",,4460,true,,,2025-06-23T23:13:02.958Z,2025-06-23T23:13:02.958Z
"5914b4ca-7f62-4469-b977-ece417b28b9e",,4461,false,,,2025-06-23T23:13:02.963Z,2025-06-23T23:13:02.963Z
"80c0c773-a671-4c90-97ed-93cebe2f385d",,4462,true,,,2025-06-23T23:13:02.969Z,2025-06-23T23:13:02.969Z
"77e73dbb-7da7-44d5-95dc-aa0fc7a5c020",,4463,true,,,2025-06-23T23:13:02.974Z,2025-06-23T23:13:02.974Z
"46abbdf8-31cd-4d3e-bac2-c155e459535b",,4464,true,,,2025-06-23T23:13:02.979Z,2025-06-23T23:13:02.979Z
"b55cf319-80f8-46bb-a8b4-fd2f7b562b86",,4465,true,,,2025-06-23T23:13:02.985Z,2025-06-23T23:13:02.985Z
"5bb30595-bb17-49d2-b8cf-6d1b2679d71b",,4466,true,,,2025-06-23T23:13:02.991Z,2025-06-23T23:13:02.991Z
"fd83a53c-7aae-45a3-85b5-ade7766c51f1",,4467,true,,,2025-06-23T23:13:02.996Z,2025-06-23T23:13:02.996Z
"99bfac49-c9ab-4c7a-8e86-3d5a5b621e16",,4468,true,,,2025-06-23T23:13:03.001Z,2025-06-23T23:13:03.001Z
"42da7e0c-74d8-4ad1-bf46-66ff877c34d7",,4469,true,,,2025-06-23T23:13:03.007Z,2025-06-23T23:13:03.007Z
"3ec19d06-5785-42ce-9ccd-9b429faed99f",,4470,false,,,2025-06-23T23:13:03.013Z,2025-06-23T23:13:03.013Z
