id,title,author,isbn,publisher,"publishYear",description,"coverUrl","pageCount","createdAt","updatedAt","eventId"
1,Stonehenge,,,,,,,,2025-06-23 16:21:14.107,2025-06-23 16:21:14.121,496
2,The Oxford History of Ancient Egypt,,,,,,,,2025-06-23 16:21:14.142,2025-06-23 16:21:14.142,
3,Ancient Egyptian Literature,,,,,,,,2025-06-23 16:21:14.242,2025-06-23 16:21:14.242,
4,A History of the Ancient Near East,,,,,,,,2025-06-23 16:21:14.287,2025-06-23 16:21:14.287,
5,Babylon: Mesopotamia and the Birth of Civilization,,,,,,,,2025-06-23 16:21:14.315,2025-06-23 16:21:14.315,
6,Europe Between the Oceans,,,,,,,,2025-06-23 16:21:14.34,2025-06-23 16:21:14.34,
7,Ancient Greece,,,,,,,,2025-06-23 16:21:14.476,2025-06-23 16:21:14.476,
8,India: A History,,,,,,,,2025-06-23 16:21:14.847,2025-06-23 16:21:14.847,
9,The Ghosts of Cannae,,,,,,,,2025-06-23 16:21:15.375,2025-06-23 16:21:15.381,835
